001, Cust30, I1, 1, 1799.99, 1799.99,
002, Cust02, I7, 1, 199.99, 199.99,
003, Cust04, I7, 1, 199.99, 199.99,
004, Cust12, I1, 1, 1799.99, 1799.99, 
005, Cust06, I7, 1, 99.99, 99.99,
006, Cust21, I10, 1, 699.99, 699.99,
007, Cust21, I10, 1, 699.99, 699.99, 
008, Cust01, I7, 1, 199.99, 199.99,
009, Cust09, I18, 1, 6799.99, 6799.99,
010, Cust12, I1, 1, 1799.99, 1799.99, 
011, Cust21, I18, 1, 6799.99, 6799.99,
012, Cust01, I14, 1, 2799.99, 2799.99,
013, Cust21, I12, 1, 699.99, 699.99,
014, Cust07, I20, 1, 299.99, 299.99,
015, Cust07, I14, 1, 2799.99, 2799.99,
016, Cust07, I12, 1, 699.99, 699.99,
017, Cust01, I18, 1, 6799.99, 6799.99,
018, Cust17, I22, 1, 99.99, 99.99,
019, Cust23, I20, 1, 299.99, 299.99,
020, Cust21, I30, 1, 299.99, 299.99,
021, Cust14, I22, 1, 99.99, 99.99,
022, Cust14, I20, 1, 299.99, 299.99,
023, Cust14, I22, 1, 99.99, 99.99,
024, Cust01, I30, 1, 299.99, 299.99, 
025, Cust28, I20, 1, 299.99, 299.99,
026, Cust09, I10, 1, 699.99, 699.99,
027, Cust21, I22, 1, 99.99, 99.99,
028, Cust28, I20, 1, 299.99, 299.99,
029, Cust17, I17, 1, 4599.99, 4599.99,
030, Cust09, I17, 1, 4599.99, 4599.99,
